Type,Vendor,Amount,Matched,€ value,Notes
4300 (CV4003),Mullard,2,yes,305,Tubes NOS and matched
6080WA,JAN RAYTHEON,2,yes,92,NOS NIB SCHWARZE PLATTEN 1960 power twin triod
6080,RCA,2,yes,72,NOS Black Plate Valves Tubes NOS Boxed (V48)
6080,General Electronics,5,no,90,6080 Leistungsröhren. Sie sind NOS und originalverpackt
6080WC (6AS7G),SYLVANIA,1,no,85,JAN NOS (New Old Stock) NIB (New In Box) Metal & ceramic base
6080 (6AS7G/ECC230/CV2984),G.E.C.,2,yes,380,UK NOS-NIB lackplate construction in original box (NIB)
5Y3GT,TUNG-SOL,2,yes,78,NOS NIB (2034)
5y3GT,Ultron,1,no,19,NOS 48/48mA
5y3GT,BRIMAR,2,yes,95,Philips Factory 50/50 und 50/53
5Y3WGTA,SYLVANIA,2,yes,94,NOS 80/80mA 
5V4,RCA,1,no,49,LABEL STANDARD # NOS (3400)
5V4GA,RCA,1,no,70,NOS (2868)
5V4G,JAN RCA,2,yes,74,NOS Coke Bottle RECTIFIER VACUUM TUBES USA Tested P.5767-D
5V4G,Brimar,1,no,94,52/52mA
5V4G (CV729),Brimar,1,no,90,graue Platten rechteckiges Getter NOS STC/Brimar UK
5z3 (5u4g/5z4/5z3p/),Fivre,1,no,250,100/mA smooth plate also 45/vt-145/80
EL84 (6BQ5),SYLVANIA,4,yes,405,Matched Quad (4 tubes) NOS NIB with High Emissions USA
E182CC (7119),Philips,2,yes,200,Matched Pair / NOS NIB / same code (4210) 41.3/41.3 ; 41.3/41.3 mA 100%= 36/36 mA
ECC83 (12AX7),Valvo,2,yes,100,NOS with disc getter and 4mA
ECC83,VALVO,2,yes,100,NOS - OVP - DISC GETTER
ECC83 (12AX7),Mullard,2,yes,150,grey ladder plate with single side hole - ECC803/5751/7025
E80CC2 (6085),Phillips,2,yes,120,NOS matched pair 100%
E80CC,Philips Miniwatt,2,yes,210,one matched pair SQ Special Quality  golden pin code VB9
E82CC (ECC82/5814A),Siemens,2,yes,159,Munich long plates 3 mica / Military Tube
ECC82 (12au7),Amperex,3,yes,350,Bugle Boy lange Platte Folie D-Getter Heerlen Holland
E88CC (ECC/88/CCa),Siemens,2,yes,270,New matched Paar 17/18 and 18/17 gleichen Produktionscode A49E 09 270
E88CC,Siemens,2,yes,180,OVP 17/17 17/17 gleichen Produktionscode A62E 672  
E80CC (6085/CV5989),Valvo,2,yes,140,NOS matched pair Valvo Red Code VB9 015
E80CC (6085/CV5989),Valvo,2,yes,150,NOS matched pair Valvo Red Code VB9 001
E82CC (6189/12AU7WA),SYLVIANA,2,yes,80,JHS 1965: MIL-Spezifikation
ECC82,ADZAM aka MAZDA,3,no,50,
5963 (12AU7/EC82/5814),RCA,3,yes,240,NOS NIB 1964 7/7mA old version red
ECC88,Mullard,2,yes,110,Mached pair Mullard (rebrandet Standard Brand) silver shield same code:IX1 B8A3 / IX1 B8A3
E88CC-01,Mullard,2,yes,150,gold pins RARE code R8G2 and R6D3
E88CC-01,Phillips,2,yes,155,gold pins RARE code 7LG (triange)3B2 and 7LG(triangle)0I1
300b,Cayin,2,yes,unknown,New from China and default in the Cayin 805a 300b amp
300b,Linlai,2,yes,640,NEW Elite Series import from China
300b,Western Electric,2,yes,1700,NEW production USA
300b,Takatsuki,2,yes,1600,Factor matched TA-300B Filament voltage/current 5V/1.2A AC or DC 100mA 450V  plate loss 40W
211,Psvane,2,yes,800, WE211 factory matched austauschbar mit VT-4C und CV2576/socket 4 pos. Jumbo Bajonett (USA)
805a,Cayin,2,yes,unknown,New from China and default in the Cayin 805a 300b amp
805a,Linlai,2,yes,600,NEW Elite Series import from China
6SN7-T(CV181),Shu Guang,2,yes,200,NEW import from China
6SN7(CV181),Cayin,2,yes,unknown,New from China and default in the Cayin 805a 300b amp
6SN7(CV181),Linlai,2,yes,168,New Elite Series factory matched
6SN7(CV181),PSVANE,2,yes,230,New CV181-TII premium series factory selected pair
6SN7GT,Cossor Brimar,2,yes,350,die Beste in NOS kaum noch zu kriegende Oktal-Röhren überhaupt
6SNGT,RCA,2,yes,210,1955 black plates 11.0/11.0mA 2.8mA/V and 10.5/11.0mA  2.8mA/V
6SN7GTW (12SN7/7N7),Sylvania,2,yes,330,Tall Boys we re-based the loctal 7N7 with a high quality octal base (gold plated pins)
6SN7,General Electric,2,yes,270,same code Gl-5692 USA red base ser 4 17 274 7.5ma(83%) und 9ma (100%)
PX4,Marconi,1,no,230,NOS Fat Shape Valve Tube with Cooling Fins Used Tested (V7)
PX4,Marconi,1,no,220,NOS Grey Glass Valve Tube NOS
EZ80 (6V4),Amperex,1,no,65,NOS NIB 45° Code KC0 V3A
EZ11,TELEFUNKEN,1,no,19,RFT # NOS (2986)
EZ11,TELEFUNKEN,1,no,60,CODE:ik=04.1937 # NOS (4453) 30/30mA
EF13,TELEFUNKEN,2,yes,60,CODE:ik=05.1944 # NOS (4422) 6.9/6.9mA
EZ12,TELEFUNKEN,1,no,53,NOS # OO Getter (1499)
EZ12,TELEFUNKEN,1,no,58,NOS # OO Getter # Labormuster (4268)
EF12,PHILIPS MINIWATT,1,no,60,NOS (2992)
EZ81, MULLARD,1,no,76,NOS # B-CODE # D-GETTER # NOS (4230)
RGN 1404,Telefunken,2,no,150,NOS 4 Volt used NOS/NIB
CF7 (TCF7/UF7/NF2/13H1),Valvo,2,no,118,NOS NIB New Pentode
CF7,Valvo,2,no,32,Valvola NOS/NIB/NEW sealed box
